,N,$1/(\frac{n}{2}\gamma_n+1)$,$N_n(\gamma_n)/n$,$\theta_n \log n$,$N(\theta_n)/(\log n)$
0,10,0.9770048833430699,7.172324648209935e-13,2.2625201366489217e-106,1.6536147815040244e-220
1,100,0.4640138047537544,0.6615469652619463,1.5730231109079607e-67,4.833403835086513e-86
2,1000,0.8806828215407464,0.893526011521917,7.685806553992133e-40,1.0643770435543512e-41
3,5000,0.7492823840780964,0.8671702601508867,2.5346928649368384e-26,6.351522417766987e-28
4,10000,0.24961536965941253,0.2549932678415733,1.3042710215681356e-30,8.615853062116294e-30
5,1000000,0.11575937828013423,0.12790123775433188,3.2386146680445064e-12,5.567971667496622e-15
6,10000000,0.8298806869824891,0.8298806869824891,7.041752370609476e-08,1.149484309608054e-08
7,20000000,0.8485905055671935,0.8564211131748805,3.1253651261033068e-09,3.2032357619593213e-10
